,URL,Phishing,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags
546,androidpolice.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,293890,242,0,1,1318
559,walmart.ca,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,7545,0,0,0,27
560,tvtropes.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,134778,276,0,0,912
561,therighthairstyles.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,115091,131,0,1,1048
562,traderjoes.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,3049,0,0,1,28
563,dreamstime.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4260,0,0,0,10
564,pxfuel.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,114089,74,0,0,640
565,who.int,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,91281,224,0,1,1033
570,kidshealth.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,33296,72,0,1,420
571,msdmanuals.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,44117,32,0,1,336
572,retailmenot.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,5554,0,0,0,18
573,sky.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,198809,74,0,0,591
574,firstpost.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,652519,315,0,2,2806
575,definitions.net,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,297865,386,0,0,5873
576,trip.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,64666,145,0,0,449
577,gamerant.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,229652,178,0,1,1034
578,magicbricks.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,297667,903,0,3,2645
579,stackexchange.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,102437,351,0,0,1008
580,almanac.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,118,0,0,0,6
581,ea.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,263668,185,0,0,1282
582,merdeka.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,187979,138,0,1,690
583,byrdie.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
584,nordstromrack.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,209958,0,0,0,7
585,holidify.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,250146,148,0,0,1065
586,amazon.com.mx,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,6989,3,0,0,56
587,aljazeera.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,284559,103,0,1,1001
588,wiley.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,2014,0,0,0,10
589,elle.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,339014,106,0,0,886
590,disneyplus.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,123037,0,0,1,107
591,time.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,298170,228,0,2,1740
594,justasianfood.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,696164,237,0,0,4446
595,gramedia.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,2554,0,0,1,25
596,easytranslation.app,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,142906,18,0,0,407
597,techcrunch.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,2625353,79,0,0,572
598,biblegateway.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,81346,80,0,0,862
599,mirror.co.uk,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,653339,491,0,1,3012
600,gaana.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,454131,383,0,0,954
601,brainyquote.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,46314,222,0,0,681
602,verizon.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,238383,328,0,0,1618
603,youtubetheater.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,434515,144,0,3,1714
604,stockx.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,5832,0,0,0,10
605,lance.com.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,5993,1,0,0,47
606,programme-television.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,200314,347,0,0,2018
607,pertanian.go.id,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,1092867,51,0,0,515
608,latimes.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,919,0,0,0,13
609,cbc.ca,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,298082,97,0,0,1587
610,tradingview.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1062886,694,0,0,8218
612,azlyrics.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,17713,78,0,0,224
613,lotterysambad.one,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,52355,21,0,0,309
614,samsclub.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,158531,8,0,0,124
615,youtour.com.au,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,699,0,0,0,10
616,thespruceeats.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
617,meta.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,310434,0,0,0,141
618,brainly.co.id,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,60160,45,0,1,681
619,ntv.com.tr,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,710972,394,0,2,1526
620,ayovaksindinkeskdi.id,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,94258,86,0,0,512
621,depositphotos.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,625623,124,0,1,802
622,discogs.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,255252,2,0,1,26
623,ziprecruiter.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,96302,53,0,0,339
624,gazzetta.it,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,419854,735,0,1,4093
625,leboncoin.fr,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,816,0,0,0,10
627,allure.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1878899,139,0,1,1662
628,scribd.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,635967,92,0,1,675
629,business-standard.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,278,0,0,0,6
630,vnexpress.net,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,227525,140,0,0,716
631,inflact.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8
633,incometax.gov.in,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,254789,312,0,0,1945
634,redbubble.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,5689,0,0,0,18
635,themoviedb.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,3167,0,0,0,31
636,google.co.jp,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,20483,28,0,0,94
638,eksisozluk.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,315651,1,0,0,29
639,wynk.in,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,440937,191,0,0,1492
640,google.pl,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,20469,28,0,0,94
641,pinterest.co.uk,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,285883,1,0,0,128
642,nyc.gov,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,61618,161,0,0,769
647,epfindia.gov.in,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,209579,399,0,0,1054
648,pikiran-rakyat.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8
649,kbb.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,428684,292,0,0,2075
650,oneindia.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4927,1,0,0,46
651,tubitv.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,89049,33,0,0,370
652,movieweb.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,249937,198,0,1,1155
653,peakpx.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,114345,75,0,0,640
654,dpboss.mobi,0,1,3,4,6,0,0,0,0,0,0,0,0,0,0,82549,55,0,0,72
656,terra.com.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,269,0,0,0,6
657,hotpepper.jp,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,92769,373,0,0,1406
658,hulu.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,199328,56,0,0,1237
659,thesun.co.uk,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,586832,369,0,0,3017
660,sky.it,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,397577,76,0,0,607
661,everydayhealth.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,354363,271,0,1,2097
663,pagesjaunes.fr,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,5693,0,0,0,18
664,wetter.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,854015,336,0,1,2353
665,metric-conversions.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,23804,42,0,0,117
666,elcomercio.pe,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,389882,475,0,8,2220
667,worldometers.info,0,1,3,4,6,0,0,0,0,0,0,0,0,0,0,75964,180,0,0,1126
668,kumparan.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4541,1,0,0,45
669,flashscore.in,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,102135,139,0,7,803
670,caixa.gov.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,141462,198,0,1,939
671,verywellmind.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
672,bukalapak.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,215540,185,0,0,779
673,womenshealthmag.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,397095,120,0,0,978
674,wikiwand.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,70199,29,0,0,456
676,google.com.ph,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,20241,27,0,0,93
677,deviantart.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1065204,200,0,1,2130
678,argentina.gob.ar,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,38497,45,0,1,452
679,x2download.app,0,1,3,3,6,0,0,0,0,0,0,0,0,0,1,21660,38,0,0,273
680,satta-king.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,140802,36,0,0,3640
681,newsnationtv.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,365309,415,0,0,1606
682,play.google,0,1,3,6,6,0,0,0,0,0,0,0,0,0,0,1561,1,0,0,13
683,casasbahia.com.br,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,275,0,0,0,6
684,apa.org,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1016,0,0,1,10
685,argos.co.uk,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,268,0,0,0,6
686,careerpower.in,0,1,3,2,6,0,0,0,0,0,0,0,0,0,0,20594,30,0,0,262
687,cornell.edu,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,66563,148,0,1,640
688,esquire.com,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,414341,117,0,0,1134
689,next.co.uk,0,1,4,2,6,0,0,0,0,0,0,0,0,0,0,457663,1402,0,0,3779
