Domain,Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags,Phishing
021done.com,1,3,3,6,0,0,0,0,0,0,0,0,0,3,1141,0,0,0,10,0
0551gjp.com,1,3,3,6,0,0,0,0,0,0,0,0,0,4,35340,112,0,0,477,0
101.xyz,1,3,3,6,0,0,0,0,0,0,0,0,0,3,4169,2,0,0,54,0
1clickmoney.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,19164,65,0,0,211,0
1password.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,203391,121,0,0,935,0
2008tb.com.tw,1,4,2,6,0,0,0,0,0,0,0,0,0,4,91691,167,0,0,696,0
247-nieuws.nl,1,3,2,6,0,0,0,0,0,0,0,0,0,3,182769,192,0,0,1227,0
2sensei.ru,1,3,2,6,0,0,0,0,0,0,0,0,0,1,292156,75,0,7,1894,0
3dissue.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,228723,86,0,1,690,0
3dpdfmaker.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,47576,52,0,0,506,0
3ind.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,34835,14,0,0,190,0
3shape.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,272810,112,0,1,841,0
4istit.ru,1,3,2,6,0,0,0,0,0,0,0,0,0,1,24741,48,0,1,339,0
4x4wlkp.pl,1,3,2,6,0,0,0,0,0,0,0,0,0,2,12472,45,0,1,196,0
500px.com,1,3,3,6,0,0,0,0,0,0,0,0,0,3,35169,0,0,0,44,0
7-zip.org,1,3,3,6,0,0,0,0,0,0,0,0,0,1,8563,29,0,0,216,0
844pulledover.com,1,3,3,6,0,0,0,0,0,0,0,0,0,3,146,0,0,0,8,0
99designs.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,160811,112,0,0,1016,0
9gag.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,162470,2,0,0,59,0
9to5mac.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,299920,423,0,2,1969,0
a-z.love,1,3,4,6,0,0,0,0,0,0,0,0,0,0,153089,23,0,1,323,0
a.co,1,3,2,6,0,0,0,0,0,0,0,0,0,0,2671,3,0,0,22,0
aarp.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,927694,423,0,0,3583,0
aasr-indy-game.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,49078,4,0,0,221,0
abc.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1711498,254,0,0,4893,0
abc.net.au,1,4,2,6,0,0,0,0,0,0,0,0,0,0,226049,100,0,1,1019,0
abcmouse.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,4826,1,0,0,31,0
abditrass.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,134386,146,0,0,884,0
abetterindustrial.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,67428,326,0,0,856,0
about.fb.com,1,4,3,6,0,0,0,0,0,0,0,0,0,0,1338319,8,0,0,316,0
about.gitlab.com,1,4,3,6,0,0,0,0,0,0,0,0,0,0,116835,49,0,2,931,0
about.google,1,3,6,6,0,0,0,0,0,0,0,0,0,0,18117,17,0,0,82,0
about.me,1,3,2,6,0,0,0,0,0,0,0,0,0,0,77158,15,0,0,175,0
aboutads.info,1,3,4,6,0,0,0,0,0,0,0,0,0,0,34831,31,0,0,293,0
academia.edu,1,3,3,6,0,0,0,0,0,0,0,0,0,0,112388,292,0,1,1437,0
academic.oup.com,1,4,3,6,0,0,0,0,0,0,0,0,0,0,93,0,0,0,3,0
acbestpractices.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,71503,19,0,1,417,0
accenture.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,233174,202,0,0,1209,0
accessconsciousness.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,161194,362,0,0,1718,0
acemudanzaspr.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,18743,52,0,0,211,0
acgamesonline.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,454548,705,0,1,2932,0
acleanbee.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,249847,102,0,0,1149,0
aclu.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,116651,77,0,0,768,0
acm.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,95677,339,0,5,1194,0
actionpa.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,10700,38,0,0,145,0
actualidadtributaria.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,115983,72,0,0,541,0
adage.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,6206,0,0,0,19,0
adameve.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,375035,445,0,1,2039,0
addictiontreatments101.com,1,3,3,6,0,0,0,0,0,0,0,0,0,3,116680,18,0,1,618,0
addthis.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,7987,4,0,0,82,0
addtoany.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,25955,65,0,0,224,0
adobe.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ads.google.com,1,4,3,6,0,0,0,0,0,0,0,0,0,0,334583,135,0,1,1346,0
advancedhumanperformance.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,280453,219,0,0,1373,0
advp.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,847438,104,0,0,477,0
adweek.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,376665,330,0,1,1583,0
adwords.google.com,1,4,3,6,0,0,0,0,0,0,0,0,0,0,334583,135,0,1,1346,0
aerogaming.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,17390,33,0,1,210,0
aescripts.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,196051,935,0,0,3155,0
aesexy.bet,1,3,3,6,0,0,0,0,0,0,0,0,0,0,182146,115,0,0,1183,0
africanwisdomkeepers.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
agri.ohio.gov,1,4,3,6,0,0,0,0,0,0,0,0,0,0,5290,0,0,1,37,0
agrimetsoft.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,90542,49,0,0,370,0
ahrefs.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,277537,80,0,0,1651,0
air1.com,1,3,3,6,0,0,0,0,0,0,0,0,0,1,29980,20,0,0,179,0
airbnb.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1274465,47,0,0,1490,0
airmusictech.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,401566,114,0,1,1266,0
airsign.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,26628,87,0,0,437,0
airtable.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,478413,218,0,1,2518,0
aisslinn.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,150,0,0,0,8,0
aka.ms,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1691,0,0,0,22,0
akismet.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,101900,60,0,0,536,0
akparti.org.tr,1,4,2,6,0,0,0,0,0,0,0,0,0,0,4517,1,0,0,45,0
akracreations.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,352174,386,0,0,2462,0
al.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,414692,155,0,0,1169,0
ala.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,99433,191,0,1,834,0
albadrcorporation.net,1,3,3,6,0,0,0,0,0,0,0,0,0,0,31548,53,0,0,344,0
alex-ro.ru,1,3,2,6,0,0,0,0,0,0,0,0,0,0,36714,200,0,1,520,0
alexa.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,6779,4,0,0,58,0
alexandercountywebsite.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,8627,17,0,1,109,0
alexandriasingers.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,29054,32,0,0,213,0
alibaba.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,162790,39,0,0,320,0
aliciacramer.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,164830,100,0,1,606,0
aliexpress.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,84727,119,0,0,440,0
alistapart.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,59988,76,0,0,456,0
aljazeera.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,175465,80,0,1,803,0
allnetic.cf,1,3,2,6,0,0,0,0,0,0,0,0,0,0,1024,2,0,0,15,0
allstreaming.cf,1,3,2,6,0,0,0,0,0,0,0,0,0,0,615,2,0,0,13,0
alltatics.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
alltop.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,166994,195,0,1,527,0
alltrails.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,661612,110,0,1,1133,0
alon-alon.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,38336,71,0,2,484,0
alpina-yaremcha.com.ua,1,4,2,6,0,0,0,0,0,0,0,0,0,0,4353,1,0,0,48,0
alquilerdecarrosenbarranquilla.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
alquilerdecarrosencartagena.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
alquilerdecarrosensantamarta.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
amazon.co.jp,1,4,2,6,0,0,0,0,0,0,0,0,0,0,6707,3,0,0,56,0
amazon.co.uk,1,4,2,6,0,0,0,0,0,0,0,0,0,0,7053,3,0,0,56,0
amazon.com.au,1,4,2,6,0,0,0,0,0,0,0,0,0,0,5549,1,0,0,21,0
amazon.com.br,1,4,2,6,0,0,0,0,0,0,0,0,0,0,175645,111,0,0,610,0
amazon.de,1,3,2,6,0,0,0,0,0,0,0,0,0,0,2292,2,0,0,57,0
amazon.es,1,3,2,6,0,0,0,0,0,0,0,0,0,0,7071,3,0,0,56,0
amazon.fr,1,3,2,6,0,0,0,0,0,0,0,0,0,0,7136,3,0,0,653,0
amazon.it,1,3,2,6,0,0,0,0,0,0,0,0,0,0,7114,3,0,0,612,0
ameblo.jp,1,3,2,6,0,0,0,0,0,0,0,0,0,0,106237,111,0,1,726,0
americancannabisconsulting.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,10,0
americanexpress.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,569954,398,0,0,2798,0
americanwildhorsecampaign.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,47593,97,0,1,483,0
amnesty.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0
amnestyusa.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,385382,144,0,3,1229,0
amp.dev,1,3,3,6,0,0,0,0,0,0,0,0,0,0,137888,82,0,0,768,0
ampproject.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,137888,82,0,0,768,0
amzn.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,2671,3,0,0,56,0
amzn.eu,1,3,2,6,0,0,0,0,0,0,0,0,0,0,7080,3,0,0,56,0
anakronic.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,24626,26,0,3,199,0
ancestry.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,537880,1,0,0,38,0
anchor.fm,1,3,2,6,0,0,0,0,0,0,0,0,0,0,131270,34,0,0,378,0
andreas-guettner.de,1,3,2,6,0,0,0,0,0,0,0,0,0,0,44782,42,0,0,370,0
android.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,431568,88,0,1,1634,0
angel.co,1,3,2,6,0,0,0,0,0,0,0,0,0,0,56819,111,0,1,502,0
animoto.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,383331,61,0,1,536,0
annarejda.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,22717,95,0,3,368,0
anniecrawley.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,66849,60,0,1,406,0
anthc.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,61645,96,0,1,500,0
anthonyjventura.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,154793,215,0,1,917,0
anti-zensur.info,1,3,4,6,0,0,0,0,0,0,0,0,0,0,237932,447,0,2,1944,0
antisidalleida.org,1,3,3,6,0,0,0,0,0,0,0,0,0,0,148486,103,0,1,623,0
antoniodipietro.com,1,3,3,6,0,0,0,0,0,0,0,0,0,0,33577,9,0,0,203,0
