Protocol Risk,SubDomain Count,TLD Length,URL Length,?,-,%,=,@,!,^,&,#,Digit Count,Content Length,Redirects,Frames,IFrames,Tags,Phishing
1,2,2,6,0,0,0,0,0,0,0,0,0,0,27616,0,0,0,48,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,841903,784,0,3,3813,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,116175,35,0,1,1548,0
1,2,4,6,0,0,0,0,0,0,0,0,0,2,94972,0,0,0,19,1
1,2,3,6,1,1,1,1,1,1,1,1,1,0,22934,65,0,0,330,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,333556,445,0,0,1929,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,782575,15,0,1,418,0
1,2,4,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,140066,74,0,0,605,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,632619,253,0,2,3497,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,66817,151,0,0,544,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,85805,246,0,4,1277,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,389908,2,0,0,80,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,247114,368,0,2,1864,0
1,2,4,6,0,0,0,0,0,0,0,0,0,4,64815,0,0,0,3,1
1,2,4,6,0,0,0,0,0,0,0,0,0,1,93229,0,0,0,12,1
1,2,4,6,0,0,0,0,0,0,0,0,0,7,183090,0,0,0,1,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,43864,33,0,0,399,0
1,2,2,6,0,0,0,0,0,0,0,0,0,0,615,2,0,0,13,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
1,2,4,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,62144,13,0,0,216,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,887589,37,0,0,427,0
1,2,4,6,0,0,0,0,0,0,0,0,0,0,510438,78,0,0,2520,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,229282,202,0,2,1313,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,226,0,0,0,5,0
1,2,4,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
1,2,3,6,0,0,0,0,0,0,0,0,0,0,266686,94,0,0,1611,0
1,2,3,6,0,0,0,0,0,0,0,0,0,0,258,0,0,0,6,0
