order,id,date,time,title,url,visitCount,typedCount,transition
0,2801,9/22/2023,23:25:53,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related,1,0,link
1,2800,9/22/2023,23:25:34,Export Chrome History - Chrome Web Store,"https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj#:~:text=Export%20Chrome%20History&text=Export%20your%20Chrome%20History%20as,click%20on%20Export%20Chrome%20History.",1,0,link
2,2799,9/22/2023,23:25:11,Google - My Activity,https://myactivity.google.com/myactivity?utm_source=chrome_h&pli=1,2,0,link
3,2799,9/22/2023,23:25:08,Google - My Activity,https://myactivity.google.com/myactivity?utm_source=chrome_h&pli=1,2,0,link
4,2794,9/22/2023,23:24:38,can you get your chrome web history on an excel sheet - Google Search,https://www.google.com/search?q=can+you+get+your+chrome+web+history+on+an+excel+sheet&rlz=1C1RXQR_enIN1024IN1024&oq=can+you+get+your+chrome+web+history+on+an+excel+sheet&aqs=chrome..69i57j33i160.11916j0j7&sourceid=chrome&ie=UTF-8,2,0,link
5,2794,9/22/2023,23:24:38,can you get your chrome web history on an excel sheet - Google Search,https://www.google.com/search?q=can+you+get+your+chrome+web+history+on+an+excel+sheet&rlz=1C1RXQR_enIN1024IN1024&oq=can+you+get+your+chrome+web+history+on+an+excel+sheet&aqs=chrome..69i57j33i160.11916j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
6,2793,9/22/2023,23:23:29,website data on data.world | 31 datasets available,https://data.world/datasets/website,1,0,link
7,2792,9/22/2023,23:22:41,dataset of different websites - Google Search,https://www.google.com/search?q=dataset+of+different+websites&rlz=1C1RXQR_enIN1024IN1024&oq=dataset+of+different+websites&aqs=chrome..69i57j33i160.4599j0j9&sourceid=chrome&ie=UTF-8,2,0,link
8,2792,9/22/2023,23:22:40,dataset of different websites - Google Search,https://www.google.com/search?q=dataset+of+different+websites&rlz=1C1RXQR_enIN1024IN1024&oq=dataset+of+different+websites&aqs=chrome..69i57j33i160.4599j0j9&sourceid=chrome&ie=UTF-8,2,0,generated
9,2791,9/22/2023,23:22:30,web url data excel - Google Search,https://www.google.com/search?q=web+url+data+excel&rlz=1C1RXQR_enIN1024IN1024&oq=website+url+data&aqs=chrome.1.69i57j0i15i22i30j0i22i30l4j0i15i22i30j69i60.4874j1j7&sourceid=chrome&ie=UTF-8,2,0,link
10,2791,9/22/2023,23:22:29,web url data excel - Google Search,https://www.google.com/search?q=web+url+data+excel&rlz=1C1RXQR_enIN1024IN1024&oq=website+url+data&aqs=chrome.1.69i57j0i15i22i30j0i22i30l4j0i15i22i30j69i60.4874j1j7&sourceid=chrome&ie=UTF-8,2,0,generated
11,2790,9/22/2023,23:22:08,Search | Kaggle,https://www.kaggle.com/search?q=url+database,1,0,link
12,2789,9/22/2023,23:21:59,Search | Kaggle,https://www.kaggle.com/search?q=website+url+datasets,1,0,link
13,283,9/22/2023,23:21:52,Search | Kaggle,https://www.kaggle.com/search,4,0,link
14,276,9/22/2023,23:21:47,Kaggle: Your Home for Data Science,https://www.kaggle.com/,23,3,link
