,rank,Domain,Protocol Risk,SubDomain Count,Top-level Domain,Domain Name,Path,Domain Registration
0,1,https://google.com,,,,,,
1,2,https://www.google.com,,,,,,
2,3,https://microsoft.com,,,,,,
3,4,https://data.microsoft.com,,,,,,
4,5,https://events.data.microsoft.com,,,,,,
5,6,https://netflix.com,,,,,,
6,7,https://apple.com,,,,,,
7,8,https://live.com,,,,,,
8,9,https://windowsupdate.com,,,,,,
9,10,https://ctldl.windowsupdate.com,,,,,,
10,11,https://safebrowsing.googleapis.com,,,,,,
11,12,https://cloud.netflix.com,,,,,,
12,13,https://prod.cloud.netflix.com,,,,,,
13,14,https://ftl.netflix.com,,,,,,
14,15,https://prod.ftl.netflix.com,,,,,,
15,16,https://nrdp.prod.cloud.netflix.com,,,,,,
16,17,https://microsoftonline.com,,,,,,
17,18,https://doubleclick.net,,,,,,
18,19,https://login.microsoftonline.com,,,,,,
19,20,https://clientservices.googleapis.com,,,,,,
20,21,https://office.com,,,,,,
21,22,https://googleusercontent.com,,,,,,
22,23,https://g.doubleclick.net,,,,,,
23,24,https://amazonaws.com,,,,,,
24,25,https://digicert.com,,,,,,
25,26,https://bing.com,,,,,,
26,27,https://facebook.com,,,,,,
27,28,https://update.googleapis.com,,,,,,
28,29,https://nrdp-ipv6.prod.ftl.netflix.com,,,,,,
29,30,https://www.googleapis.com,,,,,,
30,31,https://icloud.com,,,,,,
31,32,https://ocsp.digicert.com,,,,,,
32,33,https://settings-win.data.microsoft.com,,,,,,
33,34,https://self.events.data.microsoft.com,,,,,,
34,35,https://netflix.net,,,,,,
35,36,https://partner.netflix.net,,,,,,
36,37,https://prod.partner.netflix.net,,,,,,
37,38,https://preapp.prod.partner.netflix.net,,,,,,
38,39,https://accounts.google.com,,,,,,
39,40,https://mp.microsoft.com,,,,,,
40,41,https://google-analytics.com,,,,,,
41,42,https://officeapps.live.com,,,,,,
42,43,https://prod.netflix.com,,,,,,
43,44,https://push.prod.netflix.com,,,,,,
44,45,https://play.google.com,,,,,,
45,46,https://apple-dns.net,,,,,,
46,47,https://ls.apple.com,,,,,,
47,48,https://com.akadns.net,,,,,,
48,49,https://www.google-analytics.com,,,,,,
49,50,https://itunes.apple.com,,,,,,
50,51,https://googleads.g.doubleclick.net,,,,,,
51,52,https://office365.com,,,,,,
52,53,https://fe.apple-dns.net,,,,,,
53,54,https://fonts.googleapis.com,,,,,,
54,55,https://outlook.office365.com,,,,,,
55,56,https://office.net,,,,,,
56,57,https://skype.com,,,,,,
57,58,https://mtalk.google.com,,,,,,
58,59,https://aaplimg.com,,,,,,
59,60,https://gateway.fe.apple-dns.net,,,,,,
60,61,https://gateway.icloud.com,,,,,,
61,62,https://teams.microsoft.com,,,,,,
62,63,https://lh3.googleusercontent.com,,,,,,
63,64,https://v10.events.data.microsoft.com,,,,,,
64,65,https://youtube.com,,,,,,
65,66,https://googletagmanager.com,,,,,,
66,67,https://www.googletagmanager.com,,,,,,
67,68,https://clients4.google.com,,,,,,
68,69,https://edge.microsoft.com,,,,,,
69,70,https://optimizationguide-pa.googleapis.com,,,,,,
70,71,https://g.aaplimg.com,,,,,,
71,72,https://lencr.org,,,,,,
72,73,https://play.googleapis.com,,,,,,
73,74,https://msn.com,,,,,,
74,75,https://config.teams.microsoft.com,,,,,,
75,76,https://dsp.mp.microsoft.com,,,,,,
76,77,https://push.apple.com,,,,,,
77,78,https://login.live.com,,,,,,
78,79,https://outlook.office.com,,,,,,
79,80,https://do.dsp.mp.microsoft.com,,,,,,
80,81,https://prod.do.dsp.mp.microsoft.com,,,,,,
81,82,https://www.bing.com,,,,,,
82,83,https://content-autofill.googleapis.com,,,,,,
83,84,https://edge.skype.com,,,,,,
